Station;RoundingTrips
Sherbrooke / Frontenac;363
Desjardins / Ontario;361
de Chateaubriand / Leman;359
Drolet / Gounod;358
Duluth  / St-Denis;352
de la Peltrie / de la Côte-des-Neiges;347
Parc Georges St-Pierre (Oxford / Upper Lachine);346
Pontiac / Gilford;344
Lionel-Groulx / George-Vanier;343
Monsabré / Boileau;338
Parc Félix-Leclerc (François-Boivin / St-Zotique);337
Dollard / Van Horne;336
Ste-Catherine / Union;335
Clark / St-Zotique;333
Charlevoix / Lionel-Groulx;332
Fullum / Holt;332
Métro Frontenac (Ontario / du Havre);332
St-Charles / St-Sylvestre;328
Sanguinet / Ontario;327
St-Denis / Ste-Catherine;326
Faillon / St-Denis;325
Marché Jean-Talon (Henri-Julien / Jean-Talon);324
Marquette / Villeray;324
Métro Snowdon (de Westbury / Queen-Mary);323
Drolet / Marie-Anne;321
Parc Tino-Rossi (18e avenue / Everett);321
Parc du Pélican (Laurier/ 2e avenue);317
d'Outremont / Ogilvy;316
Vendôme / Sherbrooke;313
de la Commune / King;312
Guizot / St-Denis;311
Parc Plage;302
Parc du Pélican (2e avenue / St-Joseph);300
des Seigneurs / Notre-Dame;298
St-Dominique / St-Zotique;298
De Lanaudière / du Mont-Royal;297
Harvard / de Monkland;294
Jeanne-Mance / Laurier;290
Parc Labelle (Lasalle/ Henri Duhamel);289
St-Hubert / de Maisonneuve (nord);284
Jeanne-Mance / Bernard;283
Parc Villeray (Christophe-Colomb / Jarry);283
Henri-Julien / Duluth;282
Collège Édouard-Montpetit (de Gentilly / de Normandie);281
Dépôt Festivals ( de Maisonneuve / St-Laurent);280
Marquette / Jean-Talon;271
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand);268
Ann / Wellington;264
de Chateaubriand / Jarry;262
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville);254
Métro Vendôme (de Marlowe / de Maisonneuve);253
de la Roche / Everett;248
Fabrik8 (Waverly / Jean-Talon);247
de Belleville / Fleury;246
Legrand / Cartier;244
Joseph-Manseau / René-Lévesque;242
Stinson / Montpellier;242
Mackay / Ste-Catherine;241
Métro Sherbrooke (de Rigaud / St-Denis);239
de Champlain / Ontario;238
Notre-Dame / Guy;236
Paré / Mountain Sights;232
des Ormeaux / de Grosbois;231
Métro Plamondon (Carlton / Victoria);230
Hickson / Wellington;227
Métro Montmorency;227
Parc Maurice Bélanger (Hebert / Forest);226
Parc de Beauséjour (Gouin / Henri-d'Arles);223
Parc Jeanne-Mance (monument à sir George-Étienne Cartier);221
Parc St-Henri (Laporte / Guay);219
Parc Maurice-Bélanger (Hébert / Denommée);218
St-Dominique / de Bellechasse;217
de Bordeaux / Jean-Talon;209
de Monkland / Girouard;208
des Soeurs-Grises / Marguerite-d'Youville;208
Hochelaga / de l'Assomption;205
Duluth  / St-Denis (2);204
de Maisonneuve / Aylmer (est);203
Métro Laurier (Berri / Laurier);202
du Tricentenaire / Prince-Albert;198
Jeanne-Mance / René-Lévesque;190
des Érables / du Mont-Royal;189
